Save,Guardar
"Save Rows","Guardar Mapeo"
"The list has been successfully created","La lista fue creada con éxito"
"Rows have been saved successfully","Los datos fueron guardados"
"Customers has been synchronized.","Clientes sincronizados con éxito"
"Connection sucefully.","Conexión exitosa"
"Fields mapping","Mapeo de Campos"
"Doppler Lists","Listas de Doppler"
Configuration,Configuración
Username,"Nombre de Usuario"
"Test connection","Probar integración"
Test,Testear
"Doppler list for buyers","Lista de Doppler para compradores"
"Doppler list for subscribers","Lista de Doppler para suscriptores"
"Synchronize Lists","Sincronizar Listas"
"Enabled Synchronization Cron","Activar cron de sincronización"
"Synchronization Cron Frequency","Frecuencia de sincronización automática"
"Doppler extension is disable.","La extensión de Doppler está desactivada."
"The lists has been successfully deleted","Las listas fueron eliminadas"
"Are you sure to delete selected lists?","Está seguro que desea eliminar las listas seleccionadas?"
"Error: Verify username and key.","Error: Verificar usuario y key"
"You cannot delete lists currently used for synchronization","No puede eliminar listas actualmente utilizadas para la sincronización"
"The list can't be deleted. Reason: List Associated to a Segment","The list can't be deleted. Reason: List Associated to a Segment"
"The list can't be deleted. Reason: List Associated to a Form","The list can't be deleted. Reason: List Associated to a Form"
"In this section you can create and delete Subscribers Lists.","Desde esta sección podrás crear y eliminar Listas de Suscriptores."
"Create List","Crear Lista"
"New Doppler List","Nueva Lista de Doppler"
"The List has been created correctly.","La Lista se ha creado correctamente."
"Ouch! You've already used this name for another List.","¡Ouch! Ya has utilizado este nombre para otra Lista."
"Ouch! You've reached the maximum number of Lists created.","¡Ouch! Has alcanzado el número máximo de Listas creadas."
"Ouch! You've made several actions in a short period of time. Please wait a few minutes before making another one.","¡Ouch! Has realizado varias acciones en un periodo corto de tiempo. Por favor, espera unos minutos antes de realizar otra."
"Are you sure you want to delete the Lists selected?","¿Estás seguro que quieres eliminar las Listas seleccionadas?"
"Send your Client's information from Magento to Doppler. To do this, select the equivalent Fields in both platforms. Remember, with Subscribers you can only synchronize Emails.","Envía la información de tus Compradores de Magento a Doppler. Para hacerlo, selecciona los Campos equivalentes en ambas plataformas. Ten en cuenta que en el caso de los Suscriptores sólo podrás sincronizar el Campo Email."
"State/Province ID","Provincia ID"
"Connect your Magento store with Doppler","Integra tu tienda de Magento con Doppler"
"When you synchronize, you can send automatically your Client's information to your Doppler account. You will be able to create Lists, import your products into customizable Email Templates and design Abandoned Cart and Visited Product Automations. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler/'>HELP</a>.","Mediante esta sincronización, podrás enviar automáticamente la información de tus Clientes a tu cuenta de Doppler. Así podrás crear Listas, importar tus productos en Plantillas de Email personalizables y generar Automations de Carrito Abandonado y Producto Visitado. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/es/como-integrar-tu-ecommerce-de-magento-con-tu-cuenta-de-doppler/'>HELP</a>."
"By enabling this connection, you agree to Doppler's <a href='https://www.fromdoppler.com/en/legal/terms/?utm_source=integracion&utm_medium=integracion&utm_campaign=magento'>Terms and Conditions</a>.","Habilitando esta integración, estás de acuerdo con los <a href='https://www.fromdoppler.com/legal/terminos-condiciones/?utm_source=integracion&utm_medium=integracion&utm_campaign=magento'>Términos y Condiciones de Doppler</a>."
"This is your Doppler User Email","Este es tu Email de Usuario de Doppler."
"Where is your API Key? Just press <a href='https://help.fromdoppler.com/en/where-do-i-find-my-api-key/'>HELP</a>","¿Dónde encontrar tu API Key? Sólo presiona <a href='https://help.fromdoppler.com/en/where-do-i-find-my-api-key/'>HELP</a>"
"To connect your Magento store with Doppler, you must select the information you want to link between both platforms.","Para conectar tu tienda Magento con Doppler, debes seleccionar la información que quieres vincular entre ambas plataformas."
"Here you can add the scripts, either to embed a Pop up that you have created in Doppler on your Website or to track the behavior of Users on your Website. The scripts you enter will work whether you have an active integration.","Aquí puedes ingresar scripts, tanto para embeber un Pop up que hayas creado desde Doppler en tu Sitio Web como para realizar el seguimiento del comportamiento de los Usuarios en tu Web. Los scripts que agregues funcionarán independientemente de que tengas habilitada la integración."
"Ouch! The List is associated to a Campaign in sending process.","¡Ouch! La Lista está asociada a una Campaña en proceso de envío."
"Ouch! The List has associated Segments. To delete it, go to Doppler and disassociate them.","¡Ouch! La Lista tiene Segmentos asociados. Para poder eliminarla, debes ir a Doppler y desasociarla."
"Ouch! The List is associated with an active Automation. To delete it, go to Doppler and disassociate them.","¡Ouch! La Lista está asociada a un Automation activo. Para poder eliminarla, debes ir a Doppler y desasociarla."
"Ouch! The List is associated with a Form. To delete it, go to Doppler and disassociate them.","¡Ouch! La Lista está asociada a un Formulario. Para poder eliminarla, debes ir a Doppler y desasociarla."
"Ouch! The List is associated with an active integration. To delete it, go to Doppler and disconnect the integration.","¡Ouch! La Lista está asociada a una integración activa. Para poder eliminarla, debes ir a Doppler y desconectar la integración."
"Ouch! The List is in the process of union with another one.","¡Ouch! La Lista está en proceso de unión con otra."
"Ouch! The List is still in the process of being created.","¡Ouch! La Lista aún está en proceso de creación."
"Ouch! The List is in the process of loading.","¡Ouch! La Lista está en proceso de carga."
"Ouch! the list is in process of being exported.","¡Ouch! La Lista está en proceso de exportación."
"Ouch! The List is in the process of being deleted.","¡Ouch! La Lista está en proceso de eliminación."
"Ouch! Your Magento store is already connected through the Control Panel of your Doppler Account.","¡Ouch! Tu tienda Magento ya se encuentra conectada desde el Panel de Control de tu cuenta de Doppler."
"Ouch! You can't disconnect the integration 'cause you've Campaigns associated to it.","¡Ouch! No puedes desconectar la integración por tener Campañas activas asociadas"
"Synchronization","Sincronización"
"Select a list","Seleciona una lista"
"1 minute","1 minuto"
"5 minutes","5 minutos"
"10 minutes","10 minutos"
"30 minutes","30 minutos"
"1 hour","1 hora"
"2 hours","2 horas"
"6 hours","6 horas"
"12 hours","12 horas"
"1 day","1 día"
"2 days","2 días"
"3 days","3 días"
Enabled,Habilitar
Yes,Si
Name,Nombre
Status,Estado
Subscribers,Suscriptores
Cancel,Cancelar
"Ouch! You've made several actions in a short period of time. Please wait a few minutes before making another one.","¡Ouch! Has realizado varias acciones en un periodo corto de tiempo. Por favor, espera unos minutos antes de realizar otra."
"Ouch! You've already used this name for another List.","¡Ouch! Ya has utilizado este nombre para otra Lista."
"Ouch! You've reached the maximum number of Lists created.","¡Ouch! Has alcanzado el número máximo de Listas creadas."
"Oops! You’ve reached the maximum number of characters.","¡Ouch! Has alcanzado la cantidad máxima de caracteres."
"Ouch! You need to name the List to create it.","¡Ouch! Necesitas nombrar la Lista para poder crearla."
"Select All","Seleccionar Todo"
ready,Listo
"Buyers Mapping","Mapeo de Compradores"
"Doppler Field","Campo de Doppler"
"Magento Field","Campo de Magento"
Actions,Acciones
Add,Agregar
"Email & Automation Marketing","Email Marketing & Automation"
"Transactional Email","Email Transaccional"
"Customers Mapping","Mapeo de Clientes"
"Buyers Mapping","Mapeo de Compradores"
"Subscribers Mapping","Mapeo de Suscriptores"
"Error a Magento field is more than once: ","Error un campo de Magento se encuentra repetido: "
"Error a Doppler field is more than once: ","Error un campo de Doppler se encuentra repetido: "
"Synchronize your Buyers with Doppler","Sincroniza tus Compradores con Doppler"
"Synchronize your Customers with Doppler","Sincroniza tus Clientes con Doppler"
"Synchronize your Subscribers with Doppler","Sincroniza tus Suscriptores con Doppler"
"Select the fields you want to import to your list","Selecciona los campos que deseas importar a tu lista"
"Doppler List","Lista de Doppler"
"Subscribers Mapping","Mapeo de Suscriptores"
"Customers Mapping","Mapeo de Clientes"
"Ouch! You must select at least one List in the fields mapping screens.","¡Ouch! Tienes que seleccionar al menos una Lista en las pantallas de mapeo de campos."
"Send your Buyer's information from Magento to Doppler. To do this, select the Doppler List and the equivalent Fields in both platforms. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler' target='_blank'>HELP</a>","Envía la información de tus Compradores de Magento a Doppler. Para hacerlo, selecciona la Lista de Doppler a la que deseas enviar la información y los Campos equivalentes en ambas plataformas. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/es/como-integrar-tu-ecommerce-de-magento-con-tu-cuenta-de-doppler' target='_blank'>HELP</a>."
"Send your Customers's information from Magento to Doppler. To do this, select the Doppler List and the equivalent Fields in both platforms. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler' target='_blank'>HELP</a>","Envía la información de tus Clientes de Magento a Doppler. Para hacerlo, selecciona la Lista de Doppler a la que deseas enviar la información y los Campos equivalentes en ambas plataformas. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/es/como-integrar-tu-ecommerce-de-magento-con-tu-cuenta-de-doppler' target='_blank'>HELP</a>."
"Send your Subscribers's information from Magento to Doppler. To do this, select the Doppler List and the equivalent Fields in both platforms. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler' target='_blank'>HELP</a>","Envía la información de tus Suscriptores de Magento a Doppler. Para hacerlo, selecciona la Lista de Doppler a la que deseas enviar la información y los Campos equivalentes en ambas plataformas. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/es/como-integrar-tu-ecommerce-de-magento-con-tu-cuenta-de-doppler' target='_blank'>HELP</a>."
"Select the Fields to import to your List.","Selecciona los Campos que deseas importar a tu Lista."
"Send all the Emails from your Magento store through Doppler Relay. Any doubts? Just press <a href='https://help.fromdoppler.com/en/how-to-integrate-your-magento-account-with-doppler/' target='_blank'>HELP</a>.","Envía todos los Emails de tu tienda Magento a través de Doppler Relay. ¿Tienes dudas? Sólo presiona <a href='https://help.fromdoppler.com/es/como-integrar-tu-ecommerce-de-magento-con-tu-cuenta-de-doppler/' target='_blank'>HELP</a>."
"This is your Doppler Relay User Email.","Este es tu Email de Usuario de Doppler Relay."
"Where are your SMTP credentials? Just press <a href='https://help.dopplerrelay.com/en/where-can-i-find-my-api-key-and-smtp-credentials' target='_blank'>HELP</a>.","¿Dónde encontrar tus credenciales SMTP? Sólo presiona <a href='https://help.dopplerrelay.com/es/donde-puedo-encontrar-la-clave-de-mi-api-y-las-credenciales-smtp/' target='_blank'>HELP</a>."
"Connect your Magento store with Doppler Relay","Integra tu tienda de Magento con Doppler Relay"